filename,format,features,description,expected_note
01_shallow_plain_control.eml,eml,chain-depth:shallow (control),"Single message, no history, no quoting. Baseline the parser must pass trivially.",
02_classic_gt_quote_chain.eml,eml,quoting:classic-gt; header:folded-content-type,"Standard '>'-prefixed nested quoting (the one style naive strippers handle), combined with a Content-Type header folded across two lines.",
03_outlook_original_message_fwd_stack.eml,eml,quoting:outlook-original-message (no leading blank line); chain:fwd-subject-stacking,"Outlook-style '-----Original Message-----' quoting with no '>' characters, doubled (forward-of-a-forward), and no blank line separating new text from the marker on the outermost hop. Subject line stacks FW:/RE:/Fwd: from repeated forwarding.",
04_gmail_html_blockquote_no_plain.eml,eml,quoting:gmail-html-blockquote; html-only-content,multipart/alternative where the text/plain part is a content-free placeholder and the real new content + quote boundary only exist in the text/html part's <blockquote>.,
05_deep_chain_mixed_quote_chars.eml,eml,"chain-depth:deep(8-hop); quoting:mixed-chars(>,>>,|)","Eight quoting hops using three different quote-character conventions ('>', '>>', '|') as the thread round-tripped through different mail clients. A stripper tuned to one quote character stops matching partway through.",
06_interleaved_reply_color_coded.eml,eml,quoting:interleaved-reply(no textual quote marker); html-only-content,"HTML-only message (no text/plain part), reply interleaved paragraph-by-paragraph with the (unquoted) original, distinguished only by colour rather than '>' or a blockquote. There is no textual quote marker at all, so line-prefix-based stripping cannot separate old from new content even after HTML-to-text conversion; the 'latest message' is scattered across multiple non-contiguous paragraphs with no structural signal to find them.",
07_fork_merge_chain.eml,eml,chain-structure:fork-merge(non-linear),"Two independent reply branches to the same original message are pasted into one email, out of chronological order. Tests whether 'latest = top of file' still holds when the chain isn't linear (it does here only because the consolidator put the new text first; the quoted section itself is not chronologically ordered).",
08_html_table_merged_cells.eml,eml,table:html-merged-cells(colspan/rowspan); html-only-content,"HTML-only table using colspan/rowspan, no text/plain alternative. A regex tag-stripper collapses this into a run-on string with no column boundaries because merged cells break the 'one column per closed <td>' assumption.",
09_nested_table_excel_paste.eml,eml,table:nested(table-in-table); signature-block-table; html-only-content,"HTML-only. A data table nested inside an outer layout table cell, with a second nested table used for the signature block. A tag-stripping (non-tree-aware) HTML-to-text approach cannot tell which row boundaries belong to which table and concatenates across them.",
10_ascii_table_proportional_spacing.eml,eml,table:ascii-space-aligned(proportional-font),"Table built with spaces under the assumption of a monospace font. Looks aligned in the composing client; a 'split on runs of 2+ spaces' column extractor mis-detects boundaries because column widths were tuned for a proportional font, not character count.",
11_redline_inline_color.eml,eml,redline:inline-color-in-quoted-block; html-only-content,"HTML-only. The one substantive change (five years, was three) is expressed as coloured text nested inside what otherwise reads as quoted history following a '-----Original Message-----' marker. A parser that discards everything after that marker throws away the only new content in the message.",
12_strikethrough_redline.eml,eml,redline:manual-strikethrough-insertion(not-word-trackchanges); html-only-content,"HTML-only. Manual redlining using <s>/<b> tags rather than Word's real track-changes XML. A naive tag-stripper keeps both the struck-through old text and the new text side by side, producing a contradictory/duplicated sentence instead of the actual final language.",
13_quoted_printable_soft_break.eml,eml,encoding:quoted-printable-soft-linebreak,Body is quoted-printable encoded with soft line breaks ('=\r\n') that split multi-byte UTF-8 characters and long words across lines. A parser that reads the body as raw text without decoding Content-Transfer-Encoding first gets literal '=E2=80=91' sequences and words broken at arbitrary column positions.,
14_base64_body.eml,eml,encoding:base64-body,Entire text/plain body is base64-encoded. Confirms the parser honors Content-Transfer-Encoding rather than assuming 7-bit/8-bit text; reading raw produces unreadable base64 noise instead of the message.,
15_wrong_charset_windows1252.eml,eml,"encoding:mislabeled-charset(declared us-ascii, actual windows-1252)","Header declares us-ascii but the body bytes are windows-1252 (curly quotes, em/en dash). A parser that trusts the declared charset over sniffing raises UnicodeDecodeError or silently mojibakes the punctuation.",
16_legacy_shiftjis_forward.eml,eml,encoding:legacy-multibyte(shift_jis),"Body declared and encoded as Shift_JIS, forwarded into an otherwise English-language thread. Confirms the parser isn't hardcoded to UTF-8/Latin-1 charset assumptions common in quick regex-based decoders.",
17_rfc2047_encoded_subject.eml,eml,encoding:rfc2047-encoded-subject(split-across-two-words),"Subject header uses RFC 2047 encoded-words, split into two adjacent encoded-words joined by folding whitespace. A header reader that treats headers as raw strings without running email.header.decode_header gets literal '=?UTF-8?B?...?=' noise in the subject.",
18_utf8_bom.eml,eml,encoding:utf8-bom-prefix,"text/plain body is prefixed with a UTF-8 byte-order mark. A naive str.decode('utf-8') succeeds but leaves a stray U+FEFF character glued to the first word, breaking any exact-match / startswith comparison downstream.",
19_multi_attachment_types.eml,eml,"attachments:pdf,docx(real-track-changes),xlsx","Three real Office/PDF attachments, including a DOCX with genuine Word track-changes XML (w:ins/w:del) — the actual redline text only exists inside the attachment, not the body. Tests whether a parser (a) recognizes OOXML content-type strings rather than skipping unknown MIME types, and (b) doesn't crash walking a MIME tree with several binary leaves.",
20_inline_cid_image.eml,eml,attachments:inline-cid-image(multipart/related),"Two inline images referenced via cid: inside multipart/related, nested inside multipart/alternative. Tests whether the parser distinguishes multipart/related inline parts (rendering aids, not real attachments) from multipart/mixed real attachments — conflating the two produces a wrong attachment count and can mistake render-only assets for evidence.",
21_nested_rfc822_attachment.eml,eml,attachments:nested-message-rfc822,"The substantive content (the actual settlement number) is inside a message/rfc822 attachment — a full email attached as a file rather than pasted inline — while the top-level body is just a one-line FYI. A parser that only reads the top-level body (or that walks multipart/* parts but stops at the first non-multipart leaf without recursing into an attached message) reports the FYI text and completely misses the real number. Ground truth here is the number, not the FYI line.",
22_zip_with_eml.eml,eml,attachments:zip-containing-eml,A .zip attachment contains a further .eml file. Tests whether the pipeline attempts to open compressed containers at all — most naive parsers list 'archive.zip' as an attachment filename and never look inside it. Ground truth is the top-level body only (the harness's single extraction task does not require zip traversal); the manifest flags this file separately as an 'attachment traversal' case for pipelines that claim to do full-text indexing of archives.,
23_corrupted_attachment.eml,eml,attachments:corrupted-truncated-pdf; attachments:zero-byte,"One attachment is a truncated PDF (valid header, no %%EOF, unreadable by a real PDF parser) and one is a zero-byte file with a PDF filename. Tests whether one bad attachment crashes extraction of the whole message rather than degrading gracefully.",
24_outlook_native_original_message.msg,msg,"native-format:msg(OLE2,real-outlook); quoting:outlook-original-message","Genuine binary OLE2 .msg produced by real Outlook (not an .eml renamed to .msg). A parser that tries to open this the way it opens .eml (raw text read + decode) gets binary structured-storage bytes, not RFC 5322 text - the single most common 'worked on my test file' trap when a team only ever tested against .eml.",
25_outlook_native_html_table.msg,msg,native-format:msg; table:html-merged-cells,"Native .msg saved with BodyFormat=HTML containing a merged-cell table, exercising the table-mixing failure mode inside the binary .msg format rather than .eml, since some pipelines have separate (and separately-buggy) code paths for each.",
26_outlook_native_redline_color.msg,msg,native-format:msg; redline:inline-color-in-quoted-block,"Native .msg equivalent of the inline-color redline test: the substantive edit is nested inside what reads as quoted history, this time inside a real binary .msg file.",
27_outlook_native_pdf_attachment.msg,msg,native-format:msg; attachments:pdf,"Native .msg with a real PDF attachment stored as an OLE sub-storage, not a base64 MIME part like .eml. Tests whether the attachment-handling code path is genuinely format-agnostic or was only ever written/tested against .eml's base64 attachments.",
28_outlook_native_richtext_only.msg,msg,native-format:msg; body-format:richtext(olFormatRichText),"Composed with BodyFormat=olFormatRichText (Outlook's native RTF format, distinct from HTML or plain). extract_msg's plain-text .body accessor depends on Outlook having kept a synced plain-text copy; when a message is authored purely in RTF, some real-world .msg files carry the readable content ONLY in the compressed RTF stream (compressed under MS-OXRTFCP), which a library that only reads the plain-text or HTML property returns empty/None for. See README 'Known limitation' - this fixture approximates the scenario via Outlook's own RTF authoring path rather than hand-crafting a compressed-RTF-only stream, and the harness records whatever extract_msg actually returns for it as a real, not simulated, result.",
